,Ticker,volume
10674,ZTS,1098159007.0
5864,BDN,1096323894.0
6081,NVTS,1094807047.0
5976,DEI,1094368357.0
10527,DHT,1094234879.0
458,SG,1093317537.0
7738,OXLC,1090663054.0
6503,AZUL,1090066456.0
7505,AXTA,1089821194.0
24,SVIX,1087087277.0
6826,MGY,1086943227.0
8182,APLS,1086597866.0
4092,PAGP,1085069745.0
6464,DINO,1083783709.0
9259,NXPI,1083741948.0
1103,CMS,1083403432.0
9159,CNH,1083094523.0
7080,RR,1083051486.0
7198,EXAS,1082778938.0
7724,XFOR,1082130581.0
3542,ENLC,1077558529.0
1395,SBRA,1071492997.0
8983,MTC,1071054291.0
2028,HES,1070871805.0
6702,CPRI,1070423345.0
2400,JEPQ,1068962593.0
5388,AMT,1068561922.0
432,WIT,1068215931.0
2867,ALK,1066435682.0
5197,LXP,1061542527.0
9553,ARKG,1060315722.0
6917,SHO,1059503064.0
4865,SPYG,1059159536.0
227,AUPH,1058770075.0
225,FYBR,1058340161.0
10657,BILL,1057989048.0
10356,EC,1057166130.0
115,GPN,1053857558.0
2552,REI,1053169263.0
7807,LEN,1052834040.0
2271,BFLY,1051458662.0
6812,LSCC,1051356799.0
1832,NTNX,1051030290.0
4603,DLR,1050302580.0
10128,SCO,1048497706.0
6845,VXRT,1047713423.0
10566,MTG,1044988209.0
7716,TGNA,1043591402.0
321,LYV,1043527612.0
4380,TAK,1041606363.0
2029,SPHY,1041141039.0
7805,SPLV,1040629483.0
7181,RUM,1039683715.0
8074,EA,1037193144.0
2076,FTCI,1036962547.0
245,TVGN,1034487556.0
2590,IRT,1034331558.0
3745,BKD,1032178907.0
6682,BBIO,1030001463.0
8881,TFLO,1027801608.0
6962,KMX,1027415563.0
10984,EWA,1027329650.0
5910,CP,1025076020.0
9976,EWC,1024681651.0
6868,RVNC,1023648446.0
11083,CRDO,1022488642.0
7195,COLB,1022429005.0
10919,TS,1021802939.0
5949,BGC,1019491315.0
5311,NFE,1019380651.0
2915,SWKS,1018872746.0
7072,QLGN,1018279301.7
8873,AAOI,1017969399.0
5125,TSHA,1017938200.0
2309,WSM,1017298948.0
8651,LABU,1016469954.9
3400,WDAY,1014867707.0
6151,TEAM,1011698376.0
4575,SMFG,1011430664.0
8025,OUT,1009987812.0
1475,UPWK,1009374634.0
4394,NTR,1009150478.0
1372,VGLT,1008181498.0
8700,VERU,1007842164.0
1158,TBT,1006517426.0
9482,CART,1005639859.0
4103,GTES,1002679882.0
6605,APLE,1001995448.0
7614,TANH,999111163.6251
2940,SLM,998895779.0
7993,IWD,998731011.0
2167,ETN,997782592.0
9119,PHYS,996489979.0
3935,AEG,995877559.0
10645,ONB,995664713.0
10260,DFS,992281381.0
7833,KNX,991871561.0
4856,DRH,991711176.0
4017,WSC,990731912.0
7766,FDX,990134901.0
7656,SONO,989738135.0
7611,OTIS,989014288.0
